Accession ID	Collection date	Submission date	Location
EPI_ISL_11888279	2021-12-28	2022-04-08	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11888332	2021-12-29	2022-04-08	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11888373	2021-12-29	2022-04-08	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11888597	2021-12-28	2022-04-08	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11889092	2021-12-28	2022-04-08	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11889166	2021-12-29	2022-04-08	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11889187	2021-12-27	2022-04-08	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11889203	2021-12-28	2022-04-08	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11889289	2021-12-28	2022-04-08	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11921642	2021-12-24	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Rhone
EPI_ISL_11921664	2021-12-24	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11921724	2021-12-27	2022-04-11	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11921733	2021-12-24	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11921819	2021-12-24	2022-04-11	Europe / France / Bourgogne-Franche-Comte / Saone-et-Loire
EPI_ISL_11921885	2021-12-24	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11921941	2021-12-23	2022-04-11	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11921967	2021-12-23	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11922005	2021-12-23	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11922021	2021-12-23	2022-04-11	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11922038	2021-12-23	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11922064	2021-12-23	2022-04-11	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11922121	2021-12-23	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11922166	2021-12-23	2022-04-11	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11922198	2021-12-23	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11922236	2021-12-23	2022-04-11	Europe / France / Nouvelle-Aquitaine / Vienne
