Accession ID	Collection date	Submission date	Location
EPI_ISL_9317503	2021-12-27	2022-01-31	Europe / France / Auvergne-Rhone-Alpes
EPI_ISL_9317100	2022-01-03	2022-01-31	Europe / France / Auvergne-Rhone-Alpes
EPI_ISL_9316344	2022-01-13	2022-01-31	Europe / France / Auvergne-Rhone-Alpes
EPI_ISL_9315567	2022-01-04	2022-01-31	Europe / France / Auvergne-Rhone-Alpes
EPI_ISL_9315249	2022-01-05	2022-01-31	Europe / France / Auvergne-Rhone-Alpes
EPI_ISL_11079839	2022-01-05	2022-03-16	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_9258633	2022-01-19	2022-01-28	Europe / France / Bretagne / Corps nuds
EPI_ISL_9251980	2021-12-27	2022-01-28	Europe / France / Hauts-de-France
EPI_ISL_9251967	2021-12-20	2022-01-28	Europe / France / Centre-Val de Loire
EPI_ISL_9245953	2021-12-20	2022-01-28	Europe / France / Grand Est / Pannes
EPI_ISL_9245940	2022-01-10	2022-01-28	Europe / France / Ile-de-France / Argenteuil
EPI_ISL_9245677	2022-01-10	2022-01-28	Europe / France / Pays de la Loire / Angers
EPI_ISL_9245675	2022-01-10	2022-01-28	Europe / France / Ile-de-France / Argenteuil
EPI_ISL_9230030	2022-01-04	2022-01-28	Europe / France / Normandie
EPI_ISL_9186757	2021-12-27	2022-01-27	Europe / France / Grand Est
EPI_ISL_9186746	2021-12-27	2022-01-27	Europe / France / Grand Est
EPI_ISL_9186714	2021-12-27	2022-01-27	Europe / France / Grand Est
EPI_ISL_9186605	2021-12-27	2022-01-27	Europe / France / Grand Est
EPI_ISL_9186526	2021-12-27	2022-01-27	Europe / France / Grand Est
EPI_ISL_9186470	2021-12-27	2022-01-27	Europe / France / Grand Est
EPI_ISL_9178358	2022-01-10	2022-01-27	Europe / France / Provence-Alpes-Cote d’Azur
EPI_ISL_9156127	2022-01-07	2022-01-27	Europe / France / Auvergne-Rhone-Alpes / Rhone
EPI_ISL_9156025	2021-12-27	2022-01-27	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_9155877	2021-12-27	2022-01-27	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_9155758	2021-12-27	2022-01-27	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_9155618	2022-01-02	2022-01-27	Europe / France / Auvergne-Rhone-Alpes
EPI_ISL_9146280	2021-12-18	2022-01-26	Europe / France / Ile-de-France
EPI_ISL_9146274	2021-12-24	2022-01-26	Europe / France / Hauts-de-France
EPI_ISL_9127137	2021-12-17	2022-01-26	Europe / France / Ile-de-France
EPI_ISL_9127136	2021-12-16	2022-01-26	Europe / France / Auvergne-Rhone-Alpes
EPI_ISL_9127126	2021-12-17	2022-01-26	Europe / France / Ile-de-France
